Timestep,Training Rewards,Max Q,Eval Rewards,Loss
108,21.6,0.7025203,11.3,0.23496036231517792
212,26.5,2.813166,9.4,0.09319766610860825
368,28.5,2.851215,23.8,0.1699904352426529
493,28.1,3.595323,25.7,0.23470014333724976
654,35.0,4.9505677,75.5,0.10142266750335693
778,26.2,6.000194,17.5,1.1056289672851562
881,20.7,7.4708695,23.9,0.168539896607399
1017,26.9,9.3262615,24.5,1.513124704360962
1138,30.6,8.082125,67.4,2.9274721145629883
1292,38.7,10.921877,196.8,0.6514409184455872
1396,30.0,10.035606,107.2,0.13896150887012482
1519,19.5,12.1206665,128.8,4.121661186218262
1621,20.0,11.866921,191.9,0.25637006759643555
1727,23.8,12.326238,148.8,6.247838497161865
1829,25.1,12.6459675,198.3,3.2201828956604004
1941,25.0,12.093096,131.1,0.20698167383670807
2062,28.7,13.045103,193.2,6.103126525878906
2169,31.1,16.592632,134.6,0.3606763184070587
2277,21.5,16.20743,166.2,0.8240584135055542
2448,27.9,18.041042,190.0,0.7856101393699646
2637,38.5,24.580936,169.7,6.339652061462402
2755,49.1,24.351551,152.9,9.852667808532715
2870,54.8,19.361221,192.8,0.7050170302391052
2989,46.7,22.448792,185.3,0.5963003635406494
3117,33.9,26.166416,157.7,10.336429595947266
3240,35.8,21.60574,138.9,2.117936372756958
3377,43.6,27.291409,139.6,23.830957412719727
3492,43.1,27.548502,144.9,17.571653366088867
3598,35.8,24.644192,167.7,0.6952787637710571
3718,28.1,28.82925,182.1,1.084708571434021
3827,30.3,26.390833,147.0,18.434974670410156
3981,40.8,36.891262,167.0,7.066898822784424
4089,46.3,34.646877,165.2,1.6337692737579346
4236,54.6,34.497993,172.5,7.9874348640441895
4355,63.7,33.16085,191.8,11.825929641723633
4539,76.9,38.63472,160.9,2.558321714401245
4655,56.6,38.234123,184.5,1.5779787302017212
4768,35.4,38.347008,132.6,1.159523844718933
4879,24.9,39.974064,154.7,51.730098724365234
5067,37.6,46.398113,142.1,1.3349156379699707
5189,44.5,44.338215,164.4,27.86399269104004
5319,49.7,44.29669,185.6,36.30303192138672
5501,59.4,44.87417,186.1,51.69688415527344
5628,56.1,49.352146,199.5,1.1784249544143677
5762,55.4,47.25123,200.0,1.5140933990478516
5902,58.3,48.63863,194.3,67.68693542480469
6007,65.2,47.26784,199.9,17.92091941833496
6141,72.9,51.69172,191.1,1.7895511388778687
6269,70.0,55.38952,187.0,4.0562968254089355
6369,64.4,52.431713,172.3,157.77902221679688
6550,69.4,56.726067,165.5,1.736940860748291
6669,52.8,58.897503,157.5,22.196523666381836
6822,46.9,55.924812,170.2,1.9275338649749756
6953,58.4,55.513374,162.1,2.2522432804107666
7221,77.0,54.041187,184.0,15.01836109161377
7442,82.5,85.04049,200.0,22.239246368408203
7622,97.8,88.8994,190.7,35.09101104736328
7741,106.0,60.838818,200.0,115.79219055175781
7841,101.9,65.12004,191.5,3.9928154945373535
8065,84.4,59.445953,186.5,2.4008755683898926
8265,95.3,75.98372,189.3,247.57089233398438
8443,100.1,58.888264,196.7,110.22674560546875
8543,92.1,73.25699,197.7,1.8710321187973022
8680,100.7,57.076836,190.8,178.39443969726562
8870,112.9,56.635406,150.0,3.066648483276367
8999,115.8,72.41184,189.0,1.8898755311965942
9149,128.5,68.72783,187.5,1.6251194477081299
9304,141.7,54.89345,175.3,2.3578503131866455
9447,138.2,68.06752,195.1,1.1106466054916382
9633,136.8,57.259377,178.4,2.593782901763916
9775,133.2,62.155384,181.3,2.4844002723693848
9919,137.6,53.237877,186.1,386.4412841796875
10111,143.1,86.143654,191.9,237.09811401367188
10297,142.7,58.010914,197.9,269.2439880371094
10460,151.7,56.575996,194.0,3.4521632194519043
10591,159.2,55.908905,185.7,1.9197371006011963
10745,159.6,58.93998,198.6,2.0576064586639404
10938,163.4,54.756645,193.2,0.9221101403236389
11104,165.7,75.836205,190.9,195.9060821533203
11214,158.1,85.94839,195.2,143.35321044921875
11414,163.9,83.9652,198.2,1.4273183345794678
11601,168.2,47.791195,182.0,1.5856245756149292
11801,169.0,47.39625,195.6,205.54127502441406
12001,170.4,108.42363,191.6,135.3796844482422
12179,171.9,38.71606,196.6,1.2325249910354614
12357,176.6,56.419037,190.9,1.1670656204223633
12557,181.2,48.69254,181.6,0.5860506296157837
12724,178.6,43.64121,181.7,43.55189895629883
12924,182.0,41.3216,196.0,161.987060546875
13078,186.4,49.90296,196.4,0.5703786015510559
13277,186.3,34.563934,197.2,0.5481603741645813
13476,187.5,35.5984,196.0,0.8172516226768494
13676,187.5,76.11217,175.1,0.6132044792175293
13846,184.5,34.108192,192.6,0.5285484194755554
14010,183.1,32.91019,189.2,0.3980647921562195
14172,181.5,31.734608,195.4,197.3504638671875
14372,181.5,40.555294,193.9,0.5055202841758728
14572,184.8,49.051292,195.7,221.13478088378906
