Timestep,Training Rewards,Max Q,Eval Rewards,Loss
112,22.4,0.34182507,9.0,0.34019652009010315
242,22.4,6.5706367,9.5,0.6289674043655396
346,23.4,11.384672,8.9,5.133243083953857
465,27.5,14.329747,9.3,10.824081420898438
621,27.5,21.855585,46.3,13.582706451416016
735,25.9,21.094387,43.8,26.22768211364746
841,20.7,21.584658,138.4,1.1484514474868774
976,24.1,26.68813,98.3,31.58945655822754
1102,26.1,23.877417,34.4,7.56996488571167
1203,21.6,28.513632,56.0,32.73750686645508
1325,18.7,36.152992,72.2,28.623565673828125
1432,16.6,30.647314,90.4,6.186200141906738
1534,18.2,33.9767,69.2,34.9543571472168
1650,25.2,36.874268,127.7,6.889481067657471
1759,23.5,38.49384,161.2,104.77371215820312
1871,20.2,48.91776,147.4,77.74542999267578
1980,20.4,48.365536,192.4,44.4629020690918
2094,22.3,42.36594,187.3,28.7392578125
2205,22.5,42.349693,106.3,121.17405700683594
2335,24.1,47.727116,151.7,25.282155990600586
2447,22.7,59.36082,190.0,9.141261100769043
2578,23.0,118.88777,193.5,92.01203918457031
2703,27.3,50.782932,187.0,108.68486022949219
2808,31.4,52.822285,113.5,127.73403930664062
2922,26.1,75.6825,194.2,853.4271240234375
3022,27.0,68.812065,196.7,6.000845909118652
3194,24.5,61.163006,195.0,84.4504165649414
3302,19.4,69.280266,189.1,10.80664348602295
3420,20.2,121.81102,183.7,8.826242446899414
3527,20.2,86.874435,176.8,27.089645385742188
3631,17.8,79.76497,184.4,262.56329345703125
3738,17.9,106.78424,184.4,31.87978744506836
3841,17.5,98.10446,171.6,161.1464080810547
3947,20.9,107.28682,173.4,370.91827392578125
4054,26.6,119.30469,192.3,424.2839660644531
4157,22.3,153.95883,149.1,253.41796875
4260,20.6,137.91824,186.0,376.49249267578125
4382,25.1,116.99243,188.7,35.58592987060547
4494,28.8,126.13704,196.4,435.1396789550781
4598,30.5,117.13817,177.6,454.31268310546875
4701,27.3,150.85176,177.8,112.57550048828125
4817,20.5,173.07437,177.5,421.35833740234375
4920,17.9,145.11162,176.8,159.1230010986328
5040,20.4,144.91982,176.3,393.5125732421875
5162,25.5,146.56792,188.3,56.21125030517578
5262,27.5,165.18907,188.2,642.954345703125
5391,19.6,180.06766,179.0,1029.063232421875
5492,21.5,155.28586,170.2,582.9119873046875
5605,26.1,226.37915,175.0,524.0531005859375
5711,27.6,158.62602,188.8,280.1728515625
5823,27.5,208.4017,186.2,106.84860229492188
5929,21.8,183.3571,167.8,31.761751174926758
6032,24.7,194.21304,191.9,284.02703857421875
6148,24.0,194.78122,182.8,25.824312210083008
6252,24.7,239.39009,184.2,83.81468200683594
6361,21.3,202.06076,170.6,1390.8792724609375
6464,15.2,224.58427,172.7,3617.35888671875
6581,18.4,274.86755,176.0,930.4356689453125
6686,16.4,208.177,165.6,66.4788589477539
6786,19.1,245.48422,178.4,3283.344482421875
6887,20.1,245.40298,176.5,1479.451904296875
6996,21.0,263.6758,182.5,6288.158203125
7125,23.8,252.49084,170.0,1367.1077880859375
7258,21.5,296.80493,172.9,114.6849594116211
7369,20.7,267.82172,190.0,2394.93994140625
7477,21.9,291.71603,187.8,92.48223876953125
7596,22.7,262.72116,171.5,104.37710571289062
7716,20.0,333.06927,168.2,684.8695678710938
7828,20.7,295.74432,170.5,214.02944946289062
7942,22.6,375.06805,184.7,137.31175231933594
8044,25.8,359.7795,164.7,1089.399658203125
8154,26.2,347.27188,179.1,5798.1416015625
8285,30.6,323.29767,183.6,2606.93408203125
8395,27.5,354.23834,175.8,1833.7327880859375
8511,21.0,385.39264,181.5,859.8981323242188
8618,18.7,347.04416,170.8,676.0848999023438
8740,19.4,393.81195,182.1,4497.13525390625
8844,21.4,418.48746,169.5,7917.27783203125
8948,20.8,402.16867,158.5,2014.5718994140625
9051,18.4,449.3763,171.1,1438.9737548828125
9162,21.4,410.9541,167.2,4069.11962890625
9262,21.1,477.43735,165.6,245.70541381835938
9372,21.0,500.29028,161.7,3699.197265625
9480,19.7,474.88907,162.2,1632.5201416015625
9605,20.9,455.85147,154.2,113.44319152832031
9755,29.5,539.63617,152.8,5135.83544921875
9857,28.8,471.01434,164.4,198.99339294433594
9966,27.3,507.16827,161.2,4403.26611328125
10085,24.5,650.3021,152.2,5981.0703125
10216,27.4,482.9209,152.3,2238.539306640625
10327,24.2,458.66608,150.1,7564.84716796875
10446,21.6,545.69354,150.5,2470.70068359375
10553,22.6,579.07513,165.1,9841.2861328125
10674,22.8,315.78125,142.9,277.6130676269531
10782,26.2,558.23706,163.5,278.33648681640625
10884,27.3,590.7504,153.7,1355.592041015625
11010,20.3,577.0917,150.8,324.99755859375
11120,19.7,666.776,157.3,5661.1025390625
11222,21.2,658.4357,160.0,481.978759765625
11324,17.9,692.4095,130.0,4033.63818359375
11439,19.9,598.4264,176.5,253.1836700439453
11541,23.9,701.8005,172.3,683.500244140625
11648,26.5,718.5496,168.0,10896.865234375
11758,24.1,706.79895,143.2,1048.119873046875
11889,24.1,631.0872,156.8,7616.5029296875
11996,23.8,685.71906,161.2,3006.7265625
12106,21.7,758.0994,151.9,1207.321044921875
12220,21.0,813.492,168.4,1432.5777587890625
12323,17.9,695.15125,160.3,15912.3291015625
12445,21.2,753.4486,159.8,921.3311767578125
12560,21.5,820.0804,168.5,3467.58984375
12660,21.5,738.1134,157.0,537.7498779296875
12780,22.0,906.11426,172.5,599.8970947265625
12928,24.7,800.3461,153.1,7638.3974609375
13030,25.0,915.5179,144.0,9887.693359375
13130,29.3,956.88,146.7,12000.76171875
13237,28.0,916.16003,147.3,2252.12353515625
13337,20.7,793.36584,168.5,2470.55078125
13457,22.0,907.9955,145.2,829.9605102539062
13567,23.0,913.11096,141.5,4428.837890625
13668,18.5,938.0532,147.5,7775.44384765625
13777,21.0,1014.81287,137.1,31784.146484375
13878,21.0,845.3539,148.0,64478.30078125
13980,20.3,864.0298,137.4,46208.359375
14083,22.1,944.14844,151.9,19194.61328125
14201,22.1,1060.8871,155.8,15274.330078125
14305,22.2,989.764,148.3,1349.6029052734375
14434,29.4,1103.4939,163.5,28634.466796875
14566,32.5,1132.5139,131.9,27660.587890625
14667,23.3,1133.3821,146.7,29802.40234375
14790,28.0,1084.9867,145.8,5071.662109375
14896,24.5,1154.0646,156.5,1838.9718017578125
14999,20.9,1162.8777,131.8,11369.6201171875
15139,20.5,1240.3567,147.1,23310.326171875
15260,23.1,1226.2439,140.6,10540.1923828125
15378,20.5,1221.9119,154.1,81157.890625
15489,17.9,1160.9542,181.2,29283.439453125
15612,23.4,1290.5476,145.6,1483.468994140625
15738,27.6,1014.13446,149.2,959.1114501953125
15862,30.9,1332.134,147.6,20260.75
15965,32.1,1256.867,155.5,15266.3857421875
16070,27.9,1308.8633,147.9,1249.314208984375
16189,22.4,1130.2263,179.7,1285.6634521484375
16295,21.3,1271.4722,151.6,23376.462890625
16416,19.1,1665.4629,169.6,919.6201171875
16529,23.4,1345.4358,171.7,80234.9921875
16636,20.8,1370.5679,140.7,11077.703125
16800,25.9,1451.6957,146.4,56169.84375
16931,31.1,1290.5095,149.7,93699.15625
17041,30.7,1510.5651,154.6,19161.876953125
17199,26.8,1719.4047,148.3,34929.26953125
17301,20.5,1574.1487,154.8,74710.1171875
17420,19.4,1507.6458,160.1,30929.701171875
17533,21.8,1410.9565,164.1,53495.5625
17635,17.4,1336.974,163.3,67467.59375
17740,19.6,1637.5938,170.9,2342.399658203125
17852,21.7,1341.2462,166.4,4368.6748046875
17971,21.0,1734.9324,158.8,74803.3203125
18077,16.9,1537.7625,154.9,92159.4921875
18188,18.0,1714.0192,145.8,131135.71875
18289,17.3,1711.1262,172.0,72260.8359375
18409,22.1,1660.6627,154.7,25810.951171875
18534,22.6,1898.7924,161.5,3012.112548828125
18659,22.3,1833.2094,150.9,2693.1201171875
18766,18.2,1818.5221,172.9,4932.63818359375
18906,23.4,1867.1588,168.9,84990.71875
19018,26.3,1531.617,164.4,117961.75
19123,19.7,1690.8362,160.5,44742.5703125
19229,19.6,1821.2073,152.4,31044.197265625
19333,21.0,1707.5872,169.7,192922.75
19441,23.8,1745.8551,169.9,45569.265625
19552,21.9,1728.4987,146.2,13894.291015625
19701,21.8,1458.6361,161.4,81075.140625
19806,21.3,1954.0043,163.8,32142.099609375
19909,20.8,1995.7379,169.1,2949.29638671875
20021,21.5,1959.7239,176.2,35082.51171875
20125,19.5,2093.7742,179.3,4575.61376953125
20256,22.4,2726.4543,173.1,2364.229736328125
20360,20.4,2114.3525,167.0,253041.015625
