Timestep,Training Rewards,Max Q,Eval Rewards,Loss
108,21.6,0.7025203,11.3,0.23496036231517792
212,26.5,1.6590474,13.5,0.0038544111885130405
368,28.5,1.0231844,14.8,0.01320950873196125
473,26.1,1.0527605,9.4,0.0017592741642147303
600,17.2,2.090782,9.2,0.07054905593395233
705,22.1,1.8924519,9.9,0.03531965613365173
806,23.7,2.0387292,9.5,0.0040201907977461815
928,18.3,2.0748239,10.5,0.006541239097714424
1103,28.2,3.0058234,13.9,0.12568846344947815
1217,28.9,2.87715,17.9,0.08048877865076065
1332,31.3,2.9277773,15.8,0.09527178108692169
1459,26.4,2.8604789,9.8,0.19857950508594513
1561,22.9,3.7784534,17.2,0.36676502227783203
1662,25.8,3.8774312,10.5,0.46426740288734436
1762,24.2,3.95685,23.5,0.028205102309584618
1902,26.0,3.9121158,12.3,0.1821935921907425
2026,34.2,4.773476,123.7,0.20404747128486633
2126,36.4,4.5727606,30.8,0.008334029465913773
2228,26.0,4.384856,28.3,0.3589036762714386
2347,20.0,4.2309914,174.3,0.49181413650512695
2463,23.5,4.4840593,179.5,0.10414919257164001
2570,20.5,4.7177477,16.7,0.22112934291362762
2676,21.3,5.0898952,12.6,0.6603410840034485
2813,24.3,5.5601373,178.7,0.0439259372651577
2934,21.5,4.9395514,31.5,0.020221229642629623
3045,23.2,5.1634,137.6,0.24077877402305603
3150,27.0,6.4543824,199.9,0.3709876537322998
3300,32.3,6.356868,200.0,0.13381890952587128
3413,36.8,5.8788786,200.0,0.15528753399848938
3522,35.6,6.7807517,175.9,0.8075466752052307
3630,33.0,6.846807,200.0,0.5796982049942017
3769,28.0,6.8893175,200.0,0.3560379147529602
3910,28.0,5.4797025,200.0,0.31571125984191895
4012,30.0,7.3293734,200.0,0.5268322229385376
4155,24.5,7.38982,200.0,0.400733083486557
4261,23.1,6.2828636,200.0,0.1976311355829239
4374,26.5,7.947375,200.0,0.3488319218158722
4502,29.3,6.9467597,200.0,0.8993726968765259
4626,35.2,6.448821,200.0,0.18718446791172028
4754,28.1,6.7062216,180.8,1.4157565832138062
4867,24.1,7.393738,200.0,0.11512283235788345
4993,29.9,7.4331155,200.0,0.3023308515548706
5099,28.8,7.207705,200.0,0.06470546126365662
5202,35.3,2.715329,194.0,0.4263981282711029
5320,29.9,7.303931,179.3,0.4378352761268616
5425,34.0,8.051816,200.0,0.09316330403089523
5549,34.7,6.210122,193.8,0.5727373361587524
5668,39.3,8.282808,178.3,0.22909142076969147
5771,45.1,9.025929,175.9,0.1627466082572937
5922,58.7,9.826798,172.0,1.09475576877594
6075,60.1,9.420855,157.3,0.09975238144397736
6214,63.6,10.429836,161.5,0.17750073969364166
6338,67.0,9.882296,161.1,0.3126109838485718
6476,70.5,9.921952,161.7,0.18219393491744995
6583,50.8,10.594494,142.6,0.3390646278858185
6712,49.8,10.871033,143.4,1.292739748954773
6822,48.4,10.753199,125.0,0.9859011173248291
6986,49.6,9.696929,149.3,1.6001920700073242
7104,55.1,10.892351,137.1,0.26551297307014465
7212,62.9,12.321374,135.9,0.7008901834487915
7332,62.0,10.130022,124.6,4.636354446411133
7481,65.9,10.114531,151.5,0.8345741629600525
7603,74.9,12.002107,140.4,0.9560086727142334
7727,51.5,9.830561,146.6,0.31528985500335693
7958,62.6,15.354418,125.4,1.2803951501846313
8123,57.2,12.288246,116.6,1.7675540447235107
8246,60.9,12.963018,126.6,0.61505526304245
8426,69.9,14.116948,126.2,3.6332311630249023
8538,58.0,12.930502,119.7,1.7774287462234497
8660,61.5,14.271718,125.9,0.6306656002998352
8804,55.8,16.031397,133.4,0.2447987049818039
8920,49.4,12.847816,120.4,0.26348641514778137
