Timestep,Training Rewards,Max Q,Eval Rewards,Loss
108,21.6,0.7025429,11.3,0.23491919040679932
212,26.5,1.6589639,13.6,0.003850345965474844
324,25.7,1.0203009,9.3,0.0017056508222594857
446,30.3,1.0441608,9.4,0.009528817608952522
552,27.0,2.114561,22.1,0.03360060602426529
655,27.9,2.0606575,19.2,0.08141671121120453
777,22.5,2.0348182,44.0,0.030544396489858627
919,27.6,1.9823735,21.6,0.028650635853409767
1030,28.8,3.0184593,113.9,0.009633172303438187
1141,31.9,2.3630574,60.2,0.2127240002155304
1246,21.6,3.034904,37.7,0.3659277856349945
1376,23.5,2.924995,66.8,0.13568446040153503
1486,29.9,2.9088893,70.8,0.027873462066054344
1587,36.7,3.8460903,79.6,0.009735649451613426
1702,39.2,3.639768,11.3,0.23706179857254028
1825,35.3,3.913578,13.1,0.23644980788230896
1966,36.2,3.252995,162.6,0.217712864279747
2067,31.9,4.4554977,132.6,0.4061189591884613
2217,42.2,4.909678,120.5,0.20483478903770447
2333,50.8,6.7658095,90.3,0.41321343183517456
2475,59.6,4.449698,31.2,0.061088092625141144
2602,63.6,5.5451117,36.7,0.039286624640226364
2749,75.1,5.0805326,176.7,0.28287041187286377
2900,83.3,4.8559055,182.7,0.3826260268688202
3015,79.8,6.180069,193.5,0.23235563933849335
3140,66.5,5.1697035,200.0,0.07236946374177933
3248,74.9,6.46028,150.2,0.11018788814544678
3437,83.5,6.9154997,122.3,0.18258154392242432
3686,87.9,8.020629,160.9,0.43522101640701294
3886,98.6,8.001257,180.6,0.044836971908807755
4126,111.1,9.337382,197.8,1.8879610300064087
4286,125.6,9.154941,138.1,0.09025932103395462
4445,140.3,8.902931,185.7,0.5403646230697632
4588,144.8,9.832942,146.9,0.05513869225978851
4786,153.8,9.213761,140.0,2.4288272857666016
4975,153.8,10.015604,165.2,0.8064088821411133
5157,165.1,9.85108,142.5,0.18231074512004852
5328,164.2,10.049795,198.7,0.22080795466899872
5467,158.1,10.130603,151.6,0.08558178693056107
5625,167.7,10.9578495,192.6,0.07989703118801117
5797,167.1,10.767471,188.8,0.04793256148695946
5963,167.7,10.7181835,168.7,0.08934228122234344
6117,167.2,10.783367,199.5,0.8874531388282776
6317,172.9,11.028137,195.9,0.09171643853187561
6507,172.1,11.1040745,197.5,0.12319386750459671
6707,173.2,12.550762,200.0,0.21719048917293549
6907,175.0,15.761744,200.0,3.1804676055908203
7083,175.5,17.064754,161.4,4.128307819366455
7277,181.0,16.506678,185.7,3.729429244995117
7450,182.5,17.354956,200.0,0.18020109832286835
7621,182.4,18.805483,199.5,0.07590978592634201
7769,180.6,18.64509,200.0,1.67099130153656
7950,183.3,18.81639,179.5,0.08039356768131256
8115,179.8,19.17142,198.7,0.5328645706176758
8315,180.8,19.350758,153.3,0.14003100991249084
8495,178.8,19.598785,158.8,0.5199568867683411
8683,177.6,19.95464,148.9,5.481208801269531
8834,175.1,19.905064,180.5,0.16813915967941284
9007,173.0,20.70155,195.9,0.5795175433158875
9176,172.6,20.570267,155.5,13.409915924072266
9326,170.5,21.192701,160.8,0.09402759373188019
9493,172.4,20.996542,143.4,5.868259906768799
9656,170.6,21.98553,187.5,0.10198293626308441
9856,174.1,21.135092,197.7,0.11712253093719482
10056,174.1,22.584757,187.1,0.06422214955091476
10251,175.6,22.782719,157.3,0.1763676553964615
10451,176.8,22.368559,146.8,0.16743142902851105
10603,176.9,24.019228,200.0,0.23530025780200958
10777,177.0,24.12312,164.1,0.27537432312965393
10977,180.1,23.433071,191.5,0.8907614946365356
11154,182.8,24.420197,200.0,0.1102786660194397
11339,184.6,24.393885,194.7,0.16605152189731598
11513,185.7,25.32958,198.9,0.17303311824798584
11697,184.1,25.347765,188.3,0.11709028482437134
11889,183.3,25.300138,156.4,0.15501277148723602
12018,176.7,25.809805,189.9,0.16516023874282837
12196,174.5,25.874249,139.6,0.07940281927585602
12366,176.3,25.8231,169.5,0.06265795975923538
12541,176.4,26.621887,152.9,0.09566336125135422
12676,169.9,26.493734,159.1,0.05056061968207359
12829,167.5,26.591898,142.4,0.0226924866437912
12983,164.4,26.558151,200.0,20.575271606445312
13115,160.2,27.384232,147.6,0.029750769957900047
13239,154.2,26.854446,138.3,0.07103247195482254
13366,147.7,27.034164,181.7,22.127227783203125
13525,150.7,27.282162,126.8,0.02877199277281761
13666,147.0,27.350409,139.8,0.021004190668463707
13795,142.9,27.300175,185.1,0.05940868705511093
13951,141.0,27.72247,138.9,22.280744552612305
14092,141.6,28.282206,146.2,0.01656193658709526
14236,140.7,28.256054,131.4,0.02066195197403431
14365,138.2,28.05193,117.2,0.02950059249997139
14493,137.8,27.943232,130.8,22.8745059967041
14605,136.6,28.603542,149.8,0.052904292941093445
14742,137.6,28.536814,144.1,0.07175275683403015
14879,135.4,28.523273,133.9,0.0150045370683074
15019,135.3,29.560944,121.2,25.393022537231445
15162,136.7,29.194845,150.2,0.024520933628082275
15305,135.4,29.175629,139.3,0.040081627666950226
15478,138.6,29.343252,151.5,0.04534216225147247
15618,138.2,29.61723,121.1,0.009204309433698654
15756,139.1,29.73476,164.0,0.015469694510102272
15910,141.7,29.686167,129.4,0.010742539539933205
16047,144.2,30.359283,121.9,0.019195865839719772
16160,141.8,30.294842,133.2,0.018324553966522217
16276,139.7,30.27586,117.2,27.143035888671875
16401,138.2,30.326593,132.1,0.010823233984410763
16507,134.5,30.60023,115.2,0.10001916438341141
16620,131.5,30.764645,109.8,0.013548912480473518
16729,125.1,30.789923,124.8,0.042998362332582474
16838,122.0,30.686121,111.9,0.012314008548855782
16952,119.6,30.710583,117.8,0.0728292241692543
17069,115.9,31.323318,106.3,0.013008846901357174
17174,112.7,31.409262,120.1,0.01302977092564106
17287,112.7,31.403763,122.3,0.01453850232064724
17401,112.5,31.335459,112.2,0.01944863423705101
17518,111.7,32.231792,114.8,0.03361912816762924
17628,112.1,31.998272,109.5,0.007793244905769825
17739,111.9,31.886145,105.5,0.042309921234846115
17847,111.8,31.793705,110.2,0.011940444819629192
17961,112.3,31.979944,110.1,0.009466077201068401
18075,112.3,32.67946,107.4,0.005112363491207361
18184,111.5,32.65922,106.4,30.962329864501953
18293,111.9,32.40264,101.2,0.025813762098550797
18394,110.7,32.646843,105.8,0.012273474596440792
18501,110.0,32.38006,104.3,64.00655364990234
18605,108.7,33.17449,102.8,0.02625349536538124
18709,108.1,32.854874,104.5,0.014407873153686523
18813,107.4,33.01723,103.8,0.01317974179983139
18919,107.2,33.158173,105.7,0.0138225257396698
19019,105.8,33.968678,104.8,0.031666841357946396
19123,104.8,33.72657,110.1,0.012517866678535938
19285,99.2,34.94283,110.4,0.009473721496760845
19391,99.7,33.475323,105.6,0.016001936048269272
19495,99.4,33.477345,119.7,31.27409553527832
19602,99.7,34.07564,103.2,0.015055734664201736
19805,99.2,34.180584,104.0,0.007943710312247276
19999,98.0,33.866028,100.2,0.03418153524398804
