Timestep,Training Rewards,Max Q,Eval Rewards,Loss
108,21.6,0.7025203,11.3,0.23496036231517792
212,26.5,1.6590474,13.5,0.0038544111885130405
322,25.5,1.027323,9.3,0.001818799995817244
425,21.3,1.108338,9.4,0.0014975371304899454
540,21.8,1.9931856,13.3,0.07921275496482849
660,21.7,2.1167645,9.9,0.03382899984717369
763,19.0,2.0204456,9.5,0.06553853303194046
889,17.4,1.9510839,9.0,0.03606165200471878
1002,23.9,1.9421527,9.6,0.5368944406509399
1106,25.2,2.7091851,22.1,0.07877923548221588
1212,18.8,2.5321221,13.3,0.01637744903564453
1338,17.1,2.925324,11.1,0.15746121108531952
1473,26.1,2.6395485,20.6,0.04576130583882332
1575,29.4,3.6924312,55.9,0.03502203896641731
1675,26.3,3.5085235,61.1,0.16724005341529846
1794,31.1,3.6437364,41.5,0.2668536305427551
1916,34.1,3.6948535,28.6,0.31223294138908386
2045,39.7,4.795829,29.4,0.5693406462669373
2152,34.9,4.011783,33.3,0.029643643647432327
2253,41.4,3.1753068,48.5,0.1540903002023697
2360,42.8,4.145714,108.9,0.3081914782524109
2477,41.2,4.1667743,114.6,0.4241369664669037
2649,53.3,5.4698687,200.0,0.09981358051300049
2807,66.9,6.3941507,58.4,0.10601169615983963
2958,80.6,6.625627,182.3,0.05680074170231819
3126,87.3,6.348147,107.6,0.06610454618930817
3285,100.2,6.532865,113.2,0.3530644476413727
3485,117.1,7.0275507,149.0,0.062321990728378296
3605,124.5,8.440987,135.0,0.3067767322063446
3805,136.1,6.6713967,198.1,0.059445902705192566
3955,147.8,6.532567,187.3,0.8633908033370972
4076,153.7,8.485171,74.0,0.16232387721538544
4263,145.6,7.518163,109.4,0.1908940225839615
4383,142.5,7.548871,141.4,0.0767505094408989
4492,136.6,7.292952,42.9,0.7928341627120972
4691,140.6,8.441439,89.7,0.2344202995300293
4891,140.6,10.290709,179.2,0.045457638800144196
5039,143.4,8.819536,191.1,0.6487603783607483
5222,141.7,7.9060907,176.7,0.4410923421382904
5383,142.8,8.4595375,190.3,0.08929716795682907
5551,147.5,8.57204,187.6,0.07694509625434875
5716,154.6,8.144542,186.4,1.1341078281402588
5913,165.0,9.1202755,163.6,1.407499074935913
6113,173.0,9.72455,192.3,0.07565612345933914
6313,182.1,10.403959,180.8,0.12697671353816986
6513,182.2,11.37135,197.3,0.10861183702945709
6713,182.2,13.795804,195.3,3.3990840911865234
6913,187.4,12.457709,196.4,0.1469026803970337
7113,189.1,15.330088,200.0,0.1878545880317688
7313,193.0,15.319487,198.3,0.2000255286693573
7513,196.2,15.513295,199.3,0.19802360236644745
7708,199.2,11.19855,193.4,0.06691189855337143
7895,198.2,10.993788,189.8,0.13185814023017883
8076,196.3,11.706012,195.2,0.17268989980220795
8253,194.0,11.412918,199.9,1.5724365711212158
8435,192.2,11.635919,192.5,0.08892343938350677
8635,192.2,15.973032,194.0,0.1643095463514328
8817,190.4,11.81647,193.1,0.3812285363674164
9017,190.4,15.531202,200.0,0.2795116901397705
9217,190.4,18.707745,195.7,0.25035130977630615
9414,190.1,12.404211,200.0,3.327932596206665
9614,190.6,16.138504,199.6,0.24054796993732452
9778,188.3,12.737389,198.0,0.25507718324661255
9978,190.2,13.074847,196.5,0.08206344395875931
10178,192.5,18.235209,192.7,0.15455715358257294
10365,193.0,13.52522,192.2,3.642458915710449
10565,193.0,18.568518,197.8,0.10804103314876556
10765,194.8,20.82279,194.4,0.14786040782928467
10954,193.7,14.492712,197.8,0.19090256094932556
11154,193.7,20.324139,199.4,0.19327183067798615
11350,193.6,14.74013,196.7,0.15815351903438568
11548,193.4,15.704828,197.3,0.05873693525791168
11735,195.7,15.476171,200.0,1.3137052059173584
