Timestep,Training Rewards,Max Q,Eval Rewards,Loss
108,21.6,0.7025429,11.3,0.23491919040679932
212,26.5,1.6589639,13.6,0.003850345965474844
368,28.5,1.0231733,14.7,0.013169925659894943
493,28.1,1.1321051,9.4,0.002222658134996891
654,35.0,1.7319466,18.2,0.012076182290911674
778,26.2,2.0425954,16.1,0.06257102638483047
889,19.5,2.0335429,22.0,0.030398879200220108
997,21.9,2.0251832,14.9,0.04260654002428055
1105,21.6,2.6682982,14.0,0.05887977033853531
1206,22.4,2.8747096,19.1,0.011886628344655037
1326,28.0,2.8109908,17.2,0.14444714784622192
1441,26.4,2.7807786,71.2,0.13682587444782257
1546,20.5,3.6663888,69.0,0.0913415178656578
1652,21.1,3.5665443,18.4,0.18751630187034607
1770,24.2,3.6485505,178.4,0.1930330991744995
1883,26.2,3.4078617,160.2,0.02857394330203533
1989,24.1,3.59699,95.2,0.05164017900824547
2105,22.2,4.244912,200.0,0.16168634593486786
2219,28.0,4.358807,190.6,0.016305359080433846
2326,28.5,4.431113,81.5,0.4392126798629761
2460,35.5,4.56933,37.5,0.17427615821361542
2579,36.0,4.932459,200.0,0.0703892856836319
2697,41.7,4.9428964,195.7,0.07368986308574677
2809,43.7,4.4952917,199.9,0.23344752192497253
2910,39.3,5.4058485,198.9,0.07344046980142593
3063,33.5,6.157473,194.7,0.10731356590986252
3177,29.6,6.636116,200.0,0.2560192346572876
3304,34.0,4.887596,189.7,0.0805574283003807
3436,37.3,5.775935,104.1,0.5134472846984863
3554,30.4,5.912477,188.0,0.09309963881969452
3656,32.9,5.5141125,184.2,0.1485731303691864
3758,30.0,5.494094,156.3,0.4526248276233673
3867,39.6,7.529115,197.1,0.04626201465725899
3969,44.4,5.882645,187.6,0.05255052074790001
4109,42.5,6.913428,135.6,0.6390669941902161
4234,36.7,7.703807,192.5,0.3199969530105591
4479,51.0,8.536049,169.1,0.03503979369997978
4587,47.8,7.6284018,147.1,0.8216890096664429
4716,48.2,7.445848,186.4,0.06756662577390671
4822,30.8,7.4165497,166.2,0.07529322803020477
4979,35.0,7.9569254,184.6,0.24344810843467712
5162,41.5,9.601286,179.0,0.21936997771263123
5319,51.4,8.142908,195.6,0.562725305557251
5445,46.6,9.014242,200.0,0.5007412433624268
5568,40.6,7.958233,190.7,0.13604982197284698
5678,35.9,9.777099,194.8,0.1048901230096817
5798,44.0,9.479381,177.6,1.2244439125061035
5904,43.4,9.838297,185.4,1.314850926399231
6007,49.5,11.076495,182.7,2.5383429527282715
6209,58.6,10.302282,200.0,0.6946563124656677
6361,68.3,11.051302,191.2,0.9283350706100464
6487,68.9,10.340263,197.0,0.09417586028575897
6618,80.3,10.199425,189.2,0.17517706751823425
6757,89.7,8.846691,191.5,1.876164197921753
6992,98.5,11.957539,194.9,0.347250372171402
7192,112.4,15.941397,199.3,0.12446548044681549
7344,113.5,13.643608,195.5,0.0785711482167244
7544,127.5,16.057606,198.6,0.1462322473526001
7681,132.0,14.213661,190.4,0.2123393565416336
7786,135.4,14.934842,168.5,3.292156457901001
7890,140.3,14.17468,188.4,1.8781927824020386
8090,147.2,17.9496,198.1,0.6539331674575806
8273,151.6,14.922055,187.2,0.7306541800498962
8473,165.1,16.626638,143.4,1.951269268989563
8600,160.8,15.219818,195.6,0.15474210679531097
8800,160.8,18.738552,172.7,0.16989406943321228
8951,160.7,14.834351,166.3,0.19346505403518677
9149,146.8,14.144241,199.9,0.6005861163139343
9297,151.1,15.60066,181.0,3.151017904281616
9497,160.7,18.593306,177.5,0.44788604974746704
9686,141.3,17.355574,200.0,0.17770615220069885
9825,135.2,17.005842,200.0,15.61971664428711
10016,141.6,16.183895,195.8,5.007116317749023
10216,141.6,24.68331,200.0,2.9141125679016113
10391,144.0,17.403162,197.3,0.22717434167861938
10591,159.3,22.494532,198.7,0.33883824944496155
10745,159.6,18.8981,195.9,2.764949321746826
10939,164.2,17.33566,192.8,1.9290177822113037
11104,160.7,19.223557,200.0,0.23145528137683868
11276,172.3,17.351694,200.0,0.24632419645786285
11476,179.0,19.481384,200.0,8.204307556152344
11654,182.9,19.222408,198.4,0.22880758345127106
11835,181.9,18.113586,195.3,0.18269899487495422
11996,178.0,18.349018,183.0,5.011058807373047
12196,180.5,19.487514,200.0,0.17946475744247437
12396,180.5,19.449451,200.0,3.740649461746216
12596,185.1,24.847385,198.9,7.67085075378418
12760,182.1,18.837555,189.7,0.5342398285865784
12960,185.6,19.320995,196.9,0.19551143050193787
13160,188.4,20.654202,200.0,0.43015438318252563
13360,188.4,19.717138,200.0,0.19050651788711548
13560,190.6,21.134708,183.0,23.463027954101562
13726,189.1,20.088291,168.2,0.1784205138683319
13922,192.6,19.671978,192.9,0.39500343799591064
14092,189.6,20.953247,153.9,23.957990646362305
14277,188.1,20.957895,187.7,5.8208160400390625
14477,188.1,24.826786,187.7,0.15296827256679535
14641,188.1,22.180986,195.0,0.1519176959991455
14841,188.1,27.274256,199.4,0.09225868433713913
15033,187.3,22.75542,186.2,0.23348267376422882
15233,187.3,22.691977,191.9,0.08323829621076584
15433,187.3,22.973974,179.1,0.25355905294418335
15627,190.1,22.671732,196.4,0.16853664815425873
15827,190.5,30.56062,200.0,0.12268853187561035
16027,193.5,24.289858,194.1,0.08099252730607986
16213,193.6,22.847874,198.2,0.05690203979611397
16413,193.6,24.64884,199.3,0.07201340049505234
16609,196.8,23.490631,200.0,0.15482164919376373
16809,196.8,29.200562,199.0,16.519290924072266
17009,197.6,30.420013,197.8,0.13095316290855408
17179,194.6,24.51345,194.4,0.028457101434469223
17336,190.3,24.25407,192.6,0.04546177014708519
17489,186.2,24.194885,194.3,0.10055264830589294
17681,185.4,26.169094,200.0,0.028976690024137497
17881,185.4,31.124334,199.8,0.13691501319408417
18081,186.8,31.545492,200.0,0.029232092201709747
18281,186.8,33.953884,200.0,31.399211883544922
18481,187.2,32.106586,200.0,0.054731883108615875
18681,187.2,30.561453,200.0,0.05205761641263962
18881,187.2,29.17658,200.0,20.730501174926758
19081,190.2,32.704025,200.0,53.64739227294922
19281,194.5,25.370422,199.4,0.1297539323568344
19462,197.3,25.264845,199.8,0.008421472273766994
19662,198.1,28.824091,200.0,0.05961010232567787
19862,198.1,34.255394,200.0,0.031255777925252914
20062,198.1,35.593235,187.7,0.029654251411557198
20262,198.1,31.292805,191.0,0.009171753190457821
20438,195.7,25.026522,198.2,0.12854889035224915
20622,194.1,25.286697,191.3,0.019983239471912384
20807,192.6,25.875448,190.3,0.06230941042304039
21007,192.6,32.550545,183.1,0.19389298558235168
21200,191.9,25.429714,190.4,39.792964935302734
21400,193.8,31.424316,200.0,36.63860321044922
21600,193.8,33.71091,196.6,0.013670947402715683
21800,193.8,36.31095,199.9,0.021524574607610703
22000,193.8,35.15703,200.0,0.02429642155766487
22200,193.8,33.630848,192.9,0.004526600707322359
22400,196.2,28.692724,198.4,0.04111608862876892
22584,196.2,26.507336,190.5,0.008308066986501217
22753,194.6,28.040258,174.6,0.023231936618685722
22943,193.6,25.660126,156.0,17.983366012573242
23121,192.1,26.550034,199.1,0.009667517617344856
23320,192.0,26.535904,200.0,0.02026071771979332
23474,187.4,29.699835,180.7,0.01818518526852131
23638,183.8,27.25328,188.0,0.007405388168990612
23835,183.5,27.416458,188.5,0.009192843921482563
24011,181.1,27.097477,166.9,0.08265858143568039
24190,179.0,27.598608,170.1,0.01221877709031105
24362,177.8,27.407053,179.5,0.007830947637557983
24516,176.3,28.27456,165.4,0.0340404212474823
24690,174.7,27.827036,162.0,0.011787465773522854
24859,173.8,27.964666,180.0,0.015679873526096344
25040,172.0,28.139475,168.7,21.976638793945312
25204,173.0,28.424936,196.2,0.012559759430587292
25385,174.7,28.338736,169.1,0.07338280975818634
25559,172.4,28.965012,194.9,0.006983437575399876
25759,174.8,31.405354,198.6,96.521728515625
25959,176.9,37.4018,192.9,20.000202178955078
26159,179.7,32.316338,191.3,0.14567001163959503
26344,182.8,29.27567,182.7,21.064435958862305
26540,185.0,29.631123,172.7,19.580530166625977
26740,188.1,30.319042,172.1,0.01223454438149929
26926,188.6,29.44664,186.2,0.010390033014118671
27095,189.1,29.628468,181.1,0.004326913505792618
27258,187.3,29.622578,190.7,61.555084228515625
27445,188.6,29.321041,184.8,16.639183044433594
27630,187.1,30.002905,200.0,0.11902463436126709
27823,186.4,30.293346,184.4,0.013317215256392956
28014,185.5,30.732777,192.2,0.019274672493338585
28195,185.1,30.443512,163.7,0.006266660988330841
28359,181.9,30.215382,155.4,0.006694428622722626
28511,177.1,30.382359,137.1,21.71729850769043
28661,173.5,30.009256,137.3,0.10382380336523056
28814,171.9,30.166851,156.4,0.003468438284471631
28971,171.3,29.955479,148.5,0.01310021709650755
29123,167.8,30.985327,164.1,0.005083455238491297
29286,165.6,30.775742,149.9,0.010671250522136688
29436,161.3,30.471302,173.4,25.639259338378906
29605,159.1,31.306225,142.0,0.011640039272606373
29760,156.5,30.544422,156.2,0.009572340175509453
29915,155.6,30.873123,162.2,0.0044457996264100075
30057,154.6,32.962116,167.3,0.008456111885607243
30216,155.5,31.646275,153.6,0.039542049169540405
30415,160.1,31.78653,185.7,31.987350463867188
30578,160.7,31.893824,161.2,0.011822975240647793
30742,161.9,31.969105,160.7,0.026462264358997345
30899,161.3,31.711157,159.0,0.002599789295345545
31061,162.5,31.999506,143.2,0.011882670223712921
31200,159.5,32.346203,148.2,0.004158278927206993
31343,158.3,31.956781,144.0,34.59598159790039
31466,155.1,31.420053,146.5,0.008129265159368515
31614,155.7,31.763693,134.7,0.018736429512500763
31748,153.2,32.199387,125.0,0.02190406620502472
31880,146.5,32.159195,130.8,31.718446731567383
32011,143.3,31.88184,128.0,18.030256271362305
32144,140.2,32.17736,125.5,0.004982322454452515
32276,137.7,32.02287,130.6,0.07247597724199295
32411,135.0,32.4692,129.2,0.008504240773618221
32537,133.7,32.872387,117.8,0.012357679195702076
32658,131.5,32.668854,124.1,0.013012266717851162
32776,131.0,32.744453,119.2,26.76119613647461
32897,128.3,32.42356,122.3,0.17459428310394287
33030,128.2,32.70746,124.1,0.005926663521677256
33155,127.5,32.678566,128.4,28.606388092041016
33281,127.0,32.897232,127.1,0.0032545789144933224
33399,125.5,32.719673,129.1,0.005614180583506823
33538,126.2,33.151382,130.4,0.011244921013712883
33669,125.8,33.38658,129.1,0.0210117194801569
33801,126.4,33.202126,125.1,0.010499399155378342
33921,126.3,33.5958,136.7,0.025857392698526382
34047,127.1,33.66651,121.8,0.02204596996307373
34173,127.6,33.402596,124.7,0.029899394139647484
34308,115.3,33.209953,123.2,29.76986312866211
34435,115.4,33.6001,112.9,0.014678518287837505
34564,116.5,34.190132,110.7,0.033585600554943085
34695,115.7,34.12359,139.4,0.017480460926890373
34830,116.1,34.228355,141.4,0.017498323693871498
34970,116.9,34.59632,138.1,0.01228349283337593
35116,119.5,33.96682,142.3,28.062700271606445
35251,120.4,34.07246,136.0,0.00800875574350357
